"ID";"WijkenEnBuurten";"Gemeentenaam_1";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Bevolkingsdichtheid_33";"GemiddeldInkomenPerInwoner_66";"MeestVoorkomendePostcode_103"
"0";"NL00      ";"Nederland                               ";"17181084";" 8527041";" 8654043";" 2762624";" 2116813";" 4222614";" 4839917";" 3239116";"     510";"    26.0";"         ."
"1";"GM1680    ";"Aa en Hunze                             ";"   25390";"   12666";"   12724";"    3531";"    2571";"    4398";"    8396";"    6494";"      92";"    26.1";"         ."
"2";"WK168000  ";"Aa en Hunze                             ";"    3560";"    1735";"    1825";"     570";"     335";"     610";"    1170";"     860";"     243";"    27.2";"         ."
"3";"BU16800000";"Aa en Hunze                             ";"    3415";"    1660";"    1755";"     560";"     320";"     595";"    1100";"     830";"    1354";"    26.4";"      9468"
"4";"BU16800009";"Aa en Hunze                             ";"     145";"      75";"      70";"      10";"      10";"      15";"      70";"      30";"      12";"       .";"      9468"
"5";"WK168001  ";"Aa en Hunze                             ";"    1430";"     725";"     705";"     210";"     140";"     280";"     495";"     290";"      80";"       .";"         ."
"6";"BU16800100";"Aa en Hunze                             ";"    1260";"     640";"     625";"     200";"     125";"     255";"     420";"     245";"     738";"       .";"      9463"
"7";"BU16800109";"Aa en Hunze                             ";"     170";"      90";"      85";"       5";"      10";"      20";"      75";"      45";"      10";"       .";"      9463"
"8";"WK168002  ";"Aa en Hunze                             ";"     445";"     230";"     220";"      45";"      45";"      60";"     165";"     120";"      55";"       .";"         ."
"9";"BU16800200";"Aa en Hunze                             ";"     325";"     155";"     170";"      30";"      30";"      45";"     115";"      90";"     562";"       .";"      9467"
"10";"BU16800209";"Aa en Hunze                             ";"     125";"      75";"      55";"      10";"      10";"      15";"      50";"      25";"      16";"       .";"      9467"
"11";"WK168003  ";"Aa en Hunze                             ";"     405";"     205";"     200";"      25";"      60";"      45";"     155";"     110";"      44";"       .";"         ."
"12";"BU16800300";"Aa en Hunze                             ";"     390";"     200";"     190";"      25";"      55";"      40";"     150";"     105";"     714";"       .";"      9466"
"13";"BU16800309";"Aa en Hunze                             ";"      15";"       5";"      10";"       0";"       0";"       0";"       0";"       0";"       2";"       .";"      9466"
"14";"WK168004  ";"Aa en Hunze                             ";"     260";"     140";"     125";"      25";"      30";"      25";"     120";"      55";"      23";"       .";"         ."
"15";"BU16800400";"Aa en Hunze                             ";"     230";"     125";"     110";"      15";"      30";"      20";"     105";"      50";"     538";"       .";"      9465"
"16";"BU16800409";"Aa en Hunze                             ";"      30";"      20";"      15";"       5";"       0";"       5";"      10";"       0";"       3";"       .";"      9465"
"17";"WK168005  ";"Aa en Hunze                             ";"     595";"     290";"     305";"      65";"      45";"      60";"     210";"     200";"     101";"       .";"         ."
"18";"BU16800500";"Aa en Hunze                             ";"     540";"     265";"     275";"      55";"      40";"      55";"     195";"     180";"     561";"       .";"      9469"
"19";"BU16800509";"Aa en Hunze                             ";"      55";"      30";"      30";"      10";"       0";"       5";"      15";"      15";"      11";"       .";"      9469"
"20";"WK168006  ";"Aa en Hunze                             ";"     435";"     225";"     210";"      80";"      40";"      70";"     170";"      65";"      67";"       .";"         ."
"21";"BU16800600";"Aa en Hunze                             ";"     425";"     220";"     205";"      75";"      40";"      70";"     165";"      60";"     331";"       .";"      9658"
"22";"BU16800609";"Aa en Hunze                             ";"      15";"      10";"       5";"       0";"       0";"       0";"       5";"       0";"       2";"       .";"      9658"
"23";"WK168007  ";"Aa en Hunze                             ";"     150";"      75";"      80";"      10";"      20";"      20";"      60";"      25";"     407";"       .";"         ."
"24";"BU16800700";"Aa en Hunze                             ";"     150";"      75";"      80";"      10";"      20";"      20";"      60";"      25";"     682";"       .";"      9656"
"25";"BU16800709";"Aa en Hunze                             ";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"         ."
"26";"WK168008  ";"Aa en Hunze                             ";"     105";"      65";"      45";"      15";"       5";"      25";"      35";"      15";"      29";"       .";"         ."
"27";"BU16800800";"Aa en Hunze                             ";"     100";"      60";"      40";"      10";"       5";"      25";"      30";"      15";"     212";"       .";"      9657"
"28";"BU16800809";"Aa en Hunze                             ";"      10";"       5";"       5";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"      9657"
"29";"WK168009  ";"Aa en Hunze                             ";"     130";"      70";"      65";"      15";"      10";"      15";"      55";"      20";"      65";"       .";"         ."
"30";"BU16800900";"Aa en Hunze                             ";"     125";"      65";"      60";"      15";"       5";"      15";"      55";"      20";"     453";"       .";"      9655"
"31";"BU16800909";"Aa en Hunze                             ";"      10";"       5";"       5";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"      9655"
"32";"WK168011  ";"Aa en Hunze                             ";"     400";"     200";"     200";"      55";"      40";"      80";"     155";"      55";"     124";"       .";"         ."
"33";"BU16801100";"Aa en Hunze                             ";"     400";"     200";"     200";"      55";"      40";"      80";"     155";"      55";"     680";"       .";"      9654"
"34";"BU16801109";"Aa en Hunze                             ";"       5";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"      9655"
"35";"WK168012  ";"Aa en Hunze                             ";"     305";"     170";"     135";"      40";"      25";"      80";"     100";"      50";"     110";"       .";"         ."
"36";"BU16801200";"Aa en Hunze                             ";"     265";"     140";"     125";"      40";"      15";"      65";"      85";"      45";"     432";"       .";"      9659"
"37";"BU16801209";"Aa en Hunze                             ";"      45";"      35";"      10";"       0";"       5";"      10";"      15";"       0";"      19";"       .";"      9512"
"38";"WK168013  ";"Aa en Hunze                             ";"     140";"      70";"      70";"      10";"      10";"      15";"      55";"      30";"      21";"       .";"         ."
"39";"BU16801300";"Aa en Hunze                             ";"     105";"      55";"      50";"      10";"       5";"      10";"      45";"      25";"     139";"       .";"      9464"
"40";"BU16801309";"Aa en Hunze                             ";"      35";"      20";"      20";"       0";"       5";"       5";"      10";"       5";"       6";"       .";"      9464"
"41";"WK168014  ";"Aa en Hunze                             ";"    1905";"     945";"     965";"     230";"     170";"     315";"     575";"     605";"      98";"       .";"         ."
"42";"BU16801400";"Aa en Hunze                             ";"    1515";"     745";"     775";"     195";"     130";"     260";"     425";"     495";"     452";"       .";"      9462"
"43";"BU16801401";"Aa en Hunze                             ";"     140";"      75";"      70";"      10";"      15";"      10";"      50";"      45";"     261";"       .";"      9462"
"44";"BU16801409";"Aa en Hunze                             ";"     255";"     130";"     125";"      20";"      20";"      35";"     100";"      65";"      16";"       .";"      9462"
"45";"WK168015  ";"Aa en Hunze                             ";"    1850";"     930";"     920";"     300";"     210";"     350";"     605";"     370";"     315";"       .";"         ."
"46";"BU16801500";"Aa en Hunze                             ";"    1805";"     910";"     900";"     295";"     205";"     340";"     590";"     365";"     916";"       .";"      9514"
"47";"BU16801501";"Aa en Hunze                             ";"      50";"      25";"      25";"       5";"       5";"      10";"      15";"       5";"     126";"       .";"      9514"
"48";"BU16801509";"Aa en Hunze                             ";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"         ."
"49";"WK168016  ";"Aa en Hunze                             ";"     665";"     350";"     315";"      75";"      70";"     110";"     265";"     130";"      57";"       .";"         ."
"50";"BU16801600";"Aa en Hunze                             ";"     615";"     320";"     300";"      70";"      65";"     100";"     245";"     125";"     269";"       .";"      9515"
"51";"BU16801601";"Aa en Hunze                             ";"      40";"      25";"      15";"       5";"       5";"       5";"      15";"       5";"      69";"       .";"      9515"
"52";"BU16801609";"Aa en Hunze                             ";"      10";"       5";"       5";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"      9515"
"53";"WK168017  ";"Aa en Hunze                             ";"    5035";"    2440";"    2595";"     730";"     490";"     860";"    1535";"    1405";"     205";"    25.6";"         ."
"54";"BU16801700";"Aa en Hunze                             ";"    4870";"    2360";"    2510";"     715";"     470";"     835";"    1480";"    1355";"    1196";"    25.5";"      9461"
"55";"BU16801709";"Aa en Hunze                             ";"     170";"      85";"      85";"      15";"      20";"      20";"      55";"      50";"       8";"       .";"      9461"
"56";"WK168018  ";"Aa en Hunze                             ";"    1220";"     620";"     605";"     180";"     135";"     250";"     395";"     245";"      72";"       .";"         ."
"57";"BU16801800";"Aa en Hunze                             ";"     670";"     335";"     340";"     120";"      75";"     155";"     195";"     115";"    1007";"       .";"      9511"
"58";"BU16801801";"Aa en Hunze                             ";"     100";"      55";"      45";"       5";"      10";"      25";"      35";"      15";"     160";"       .";"      9511"
"59";"BU16801802";"Aa en Hunze                             ";"     250";"     130";"     125";"      30";"      30";"      35";"      85";"      55";"     238";"       .";"      9512"
"60";"BU16801809";"Aa en Hunze                             ";"     205";"     105";"     100";"      20";"      15";"      30";"      75";"      50";"      14";"       .";"      9511"
"61";"WK168019  ";"Aa en Hunze                             ";"    4715";"    2375";"    2340";"     565";"     465";"     750";"    1465";"    1455";"     135";"    26.7";"         ."
"62";"BU16801900";"Aa en Hunze                             ";"    3760";"    1820";"    1945";"     460";"     345";"     570";"    1085";"    1290";"    1127";"    26.1";"      9451"
"63";"BU16801901";"Aa en Hunze                             ";"     150";"      75";"      80";"      10";"      25";"      15";"      45";"      40";"     302";"       .";"      9458"
"64";"BU16801902";"Aa en Hunze                             ";"      65";"      35";"      35";"       5";"       5";"      10";"      20";"      15";"     279";"       .";"      9452"
"65";"BU16801903";"Aa en Hunze                             ";"      90";"      50";"      40";"      10";"      15";"      10";"      35";"      10";"     175";"       .";"      9457"
"66";"BU16801908";"Aa en Hunze                             ";"     510";"     320";"     190";"      60";"      40";"     130";"     205";"      65";"      55";"       .";"      9449"
"67";"BU16801909";"Aa en Hunze                             ";"     150";"      85";"      70";"      15";"      25";"      10";"      60";"      30";"       7";"       .";"      9448"
"68";"WK168020  ";"Aa en Hunze                             ";"    1175";"     580";"     595";"     160";"     125";"     250";"     395";"     235";"      23";"       .";"         ."
"69";"BU16802000";"Aa en Hunze                             ";"     635";"     300";"     335";"      95";"      70";"     125";"     210";"     120";"     826";"       .";"      9444"
"70";"BU16802001";"Aa en Hunze                             ";"     190";"      95";"     100";"      20";"      15";"      45";"      50";"      45";"     263";"       .";"      9443"
"71";"BU16802008";"Aa en Hunze                             ";"      80";"      45";"      35";"      10";"       0";"      20";"      30";"       5";"      13";"       .";"      9447"
"72";"BU16802009";"Aa en Hunze                             ";"     280";"     150";"     130";"      25";"      35";"      55";"      95";"      55";"       6";"       .";"      9443"
"73";"WK168021  ";"Aa en Hunze                             ";"     505";"     270";"     240";"      75";"      55";"      85";"     170";"     110";"      26";"       .";"         ."
"74";"BU16802100";"Aa en Hunze                             ";"     270";"     140";"     130";"      40";"      20";"      40";"      85";"      65";"     713";"       .";"      9454"
"75";"BU16802101";"Aa en Hunze                             ";"      95";"      50";"      45";"       5";"      10";"      20";"      30";"      15";"     197";"       .";"      9446"
"76";"BU16802109";"Aa en Hunze                             ";"     150";"      80";"      70";"      25";"      20";"      20";"      45";"      25";"       8";"       .";"      9453"
"77";"GM0738    ";"Aalburg                                 ";"   13153";"    6684";"    6469";"    2505";"    1766";"    2998";"    3644";"    2240";"     261";"    24.1";"         ."
"78";"WK073800  ";"Aalburg                                 ";"    6315";"    3170";"    3145";"    1220";"     885";"    1415";"    1680";"    1115";"     510";"    23.6";"         ."
"79";"BU07380000";"Aalburg                                 ";"    5150";"    2565";"    2580";"     970";"     685";"    1155";"    1365";"     980";"    2278";"    23.1";"      4261"
"80";"BU07380001";"Aalburg                                 ";"     920";"     475";"     440";"     210";"     155";"     220";"     225";"     110";"     358";"       .";"      4261"
"81";"BU07380009";"Aalburg                                 ";"     240";"     120";"     120";"      40";"      45";"      40";"      90";"      25";"      32";"       .";"      4261"
"82";"WK073801  ";"Aalburg                                 ";"    2720";"    1410";"    1310";"     565";"     380";"     695";"     700";"     385";"     588";"    23.3";"         ."
"83";"BU07380100";"Aalburg                                 ";"    2620";"    1355";"    1265";"     545";"     360";"     660";"     675";"     380";"    1771";"    23.4";"      4264"
"84";"BU07380109";"Aalburg                                 ";"     100";"      55";"      45";"      15";"      20";"      35";"      25";"       5";"      32";"       .";"      4264"
"85";"WK073802  ";"Aalburg                                 ";"    1705";"     860";"     845";"     290";"     235";"     375";"     500";"     310";"     264";"       .";"         ."
"86";"BU07380200";"Aalburg                                 ";"    1625";"     825";"     800";"     275";"     225";"     360";"     480";"     290";"    1067";"       .";"      4265"
"87";"BU07380209";"Aalburg                                 ";"      75";"      35";"      40";"      15";"      10";"      15";"      20";"      20";"      16";"       .";"      4265"
"88";"WK073803  ";"Aalburg                                 ";"     815";"     410";"     400";"     150";"      75";"     205";"     240";"     145";"     106";"       .";"         ."
"89";"BU07380300";"Aalburg                                 ";"     670";"     345";"     325";"     130";"      60";"     165";"     205";"     115";"    1763";"       .";"      4266"
"90";"BU07380309";"Aalburg                                 ";"     140";"      65";"      75";"      20";"      10";"      40";"      35";"      35";"      20";"       .";"      4266"
"91";"WK073804  ";"Aalburg                                 ";"     735";"     385";"     345";"     140";"      90";"     155";"     220";"     135";"     128";"       .";"         ."
"92";"BU07380400";"Aalburg                                 ";"     660";"     345";"     315";"     125";"      80";"     145";"     195";"     120";"    1322";"       .";"      4268"
"93";"BU07380409";"Aalburg                                 ";"      75";"      40";"      30";"      10";"      10";"      10";"      25";"      15";"      14";"       .";"      4268"
"94";"WK073805  ";"Aalburg                                 ";"     400";"     205";"     190";"      70";"      40";"      65";"     155";"      70";"      75";"       .";"         ."
"95";"BU07380500";"Aalburg                                 ";"     220";"     120";"     100";"      25";"      20";"      35";"     100";"      45";"     718";"       .";"      4267"
"96";"BU07380509";"Aalburg                                 ";"     175";"      85";"      90";"      40";"      20";"      35";"      60";"      25";"      35";"       .";"      4267"
"97";"WK073806  ";"Aalburg                                 ";"     445";"     230";"     215";"      75";"      60";"      90";"     145";"      75";"      56";"       .";"         ."
"98";"BU07380600";"Aalburg                                 ";"     360";"     185";"     175";"      55";"      45";"      70";"     125";"      70";"     274";"       .";"      4269"
"99";"BU07380609";"Aalburg                                 ";"      85";"      45";"      40";"      25";"      15";"      15";"      25";"      10";"      13";"       .";"      4269"
"100";"GM0358    ";"Aalsmeer                                ";"   31499";"   15596";"   15903";"    5753";"    3564";"    7112";"    9304";"    5766";"    1566";"    29.3";"         ."
"101";"WK035800  ";"Aalsmeer                                ";"   12380";"    6020";"    6355";"    1820";"    1355";"    2620";"    3505";"    3090";"    1765";"    29.1";"         ."
"102";"BU03580000";"Aalsmeer                                ";"    2535";"    1200";"    1335";"     335";"     205";"     625";"     615";"     770";"    4732";"       .";"      1431"
"103";"BU03580001";"Aalsmeer                                ";"    6400";"    3095";"    3305";"     985";"     765";"    1355";"    1935";"    1370";"    3483";"    27.7";"      1431"
"104";"BU03580004";"Aalsmeer                                ";"    2540";"    1265";"    1275";"     380";"     290";"     500";"     620";"     765";"     982";"       .";"      1431"
"105";"BU03580005";"Aalsmeer                                ";"     890";"     455";"     435";"     125";"     100";"     150";"     340";"     190";"     436";"       .";"      1431"
"106";"WK035801  ";"Aalsmeer                                ";"    9220";"    4600";"    4620";"    1830";"     990";"    2320";"    2710";"    1390";"    2119";"    28.1";"         ."
"107";"BU03580100";"Aalsmeer                                ";"    9220";"    4600";"    4620";"    1830";"     990";"    2320";"    2710";"    1390";"    2119";"    28.1";"      1433"
"108";"WK035802  ";"Aalsmeer                                ";"    9895";"    4970";"    4920";"    2110";"    1225";"    2180";"    3100";"    1295";"    1131";"    30.7";"         ."
"109";"BU03580200";"Aalsmeer                                ";"     980";"     510";"     470";"     110";"     130";"     215";"     335";"     200";"     635";"       .";"      1432"
"110";"BU03580201";"Aalsmeer                                ";"     760";"     400";"     355";"     120";"      90";"     155";"     250";"     155";"     364";"       .";"      1432"
"111";"BU03580205";"Aalsmeer                                ";"    7750";"    3850";"    3895";"    1840";"     975";"    1740";"    2365";"     845";"    2917";"    30.7";"      1432"
"112";"BU03580206";"Aalsmeer                                ";"     400";"     205";"     195";"      45";"      35";"      75";"     155";"     100";"     164";"       .";"      1432"
"113";"GM0197    ";"Aalten                                  ";"   26962";"   13559";"   13403";"    4379";"    2948";"    5500";"    8297";"    5838";"     279";"    22.8";"         ."
"114";"WK019701  ";"Aalten                                  ";"    4035";"    2075";"    1960";"     670";"     590";"     650";"    1355";"     760";"      59";"    23.6";"         ."
"115";"BU01970101";"Aalten                                  ";"     110";"      50";"      60";"      15";"      20";"      20";"      35";"      10";"    2524";"       .";"      7122"
"116";"BU01970102";"Aalten                                  ";"     475";"     255";"     220";"      75";"      80";"      65";"     160";"      85";"      64";"       .";"      7122"
"117";"BU01970103";"Aalten                                  ";"     375";"     190";"     185";"      65";"      55";"      65";"     125";"      65";"      50";"       .";"      7122"
"118";"BU01970104";"Aalten                                  ";"     470";"     235";"     235";"      80";"      70";"      80";"     155";"      80";"      52";"       .";"      7122"
"119";"BU01970105";"Aalten                                  ";"     145";"      70";"      75";"      25";"      15";"      20";"      45";"      35";"    1386";"       .";"      7122"
"120";"BU01970106";"Aalten                                  ";"     150";"      80";"      70";"      15";"      15";"      35";"      50";"      30";"    1489";"       .";"      7122"
"121";"BU01970107";"Aalten                                  ";"     250";"     135";"     115";"      45";"      25";"      30";"      80";"      60";"      52";"       .";"      7122"
"122";"BU01970108";"Aalten                                  ";"     640";"     325";"     315";"     105";"      85";"      95";"     225";"     125";"      48";"       .";"      7122"
"123";"BU01970109";"Aalten                                  ";"     105";"      50";"      50";"      15";"      20";"      20";"      30";"      10";"      16";"       .";"      7122"
"124";"BU01970110";"Aalten                                  ";"     640";"     335";"     305";"     100";"      90";"     100";"     220";"     120";"      85";"       .";"      7122"
"125";"BU01970111";"Aalten                                  ";"     580";"     300";"     280";"     100";"      75";"      90";"     185";"     120";"      52";"       .";"      7121"
"126";"BU01970112";"Aalten                                  ";"      75";"      35";"      40";"      15";"      15";"      10";"      20";"       5";"    1557";"       .";"      7121"
"127";"WK019702  ";"Aalten                                  ";"    1875";"     985";"     890";"     295";"     195";"     360";"     655";"     370";"     190";"       .";"         ."
"128";"BU01970201";"Aalten                                  ";"     210";"     120";"      90";"      30";"      25";"      30";"      85";"      35";"      36";"       .";"      7121"
"129";"BU01970202";"Aalten                                  ";"     200";"     110";"      85";"      20";"      20";"      25";"      80";"      45";"     146";"       .";"      7121"
"130";"BU01970203";"Aalten                                  ";"      80";"      40";"      40";"      10";"      10";"      10";"      30";"      10";"      40";"       .";"      7126"
"131";"BU01970204";"Aalten                                  ";"    1385";"     715";"     670";"     230";"     130";"     290";"     450";"     275";"    2426";"       .";"      7126"
"132";"WK019703  ";"Aalten                                  ";"   12805";"    6380";"    6425";"    2125";"    1350";"    2840";"    3690";"    2795";"    2506";"    22.8";"         ."
"133";"BU01970301";"Aalten                                  ";"    2045";"    1030";"    1015";"     335";"     195";"     435";"     565";"     500";"    3820";"       .";"      7122"
"134";"BU01970302";"Aalten                                  ";"    2410";"    1230";"    1180";"     445";"     255";"     610";"     685";"     410";"    1492";"       .";"      7121"
"135";"BU01970303";"Aalten                                  ";"    1550";"     790";"     760";"     270";"     240";"     305";"     560";"     165";"    2396";"       .";"      7123"
"136";"BU01970304";"Aalten                                  ";"    2655";"    1295";"    1355";"     405";"     250";"     555";"     725";"     710";"    2987";"    23.8";"      7121"
"137";"BU01970305";"Aalten                                  ";"     825";"     415";"     410";"     245";"      80";"     235";"     200";"      50";"    1971";"       .";"      7122"
"138";"BU01970306";"Aalten                                  ";"    1060";"     545";"     515";"     180";"     120";"     255";"     305";"     200";"    3410";"       .";"      7121"
"139";"BU01970307";"Aalten                                  ";"    2260";"    1065";"    1190";"     235";"     200";"     435";"     635";"     750";"    3259";"       .";"      7121"
"140";"WK019704  ";"Aalten                                  ";"    8240";"    4115";"    4125";"    1280";"     805";"    1640";"    2595";"    1905";"     601";"    22.2";"         ."
"141";"BU01970400";"Aalten                                  ";"    2795";"    1345";"    1450";"     405";"     235";"     585";"     755";"     810";"    3220";"    20.7";"      7091"
"142";"BU01970401";"Aalten                                  ";"    1810";"     925";"     885";"     245";"     185";"     330";"     600";"     435";"    2982";"       .";"      7091"
"143";"BU01970402";"Aalten                                  ";"    2425";"    1215";"    1210";"     435";"     240";"     515";"     815";"     415";"    1927";"       .";"      7091"
"144";"BU01970403";"Aalten                                  ";"     330";"     170";"     160";"      55";"      40";"      60";"     120";"      45";"    1461";"       .";"      7095"
"145";"BU01970408";"Aalten                                  ";"     240";"     125";"     115";"      40";"      20";"      35";"      80";"      55";"     143";"       .";"      7091"
"146";"BU01970409";"Aalten                                  ";"     635";"     335";"     300";"      95";"      75";"     105";"     215";"     135";"      70";"       .";"      7095"
"147";"GM0059    ";"Achtkarspelen                           ";"   27935";"   14203";"   13732";"    5031";"    3311";"    6325";"    7913";"    5355";"     273";"    20.3";"         ."
"148";"WK005900  ";"Achtkarspelen                           ";"   11900";"    6065";"    5835";"    2180";"    1440";"    2675";"    3340";"    2255";"     257";"    20.5";"         ."
"149";"BU00590000";"Achtkarspelen                           ";"    5035";"    2485";"    2545";"     880";"     575";"    1080";"    1320";"    1175";"    2024";"    21.9";"      9285"
"150";"BU00590001";"Achtkarspelen                           ";"    1005";"     530";"     470";"     175";"     130";"     225";"     305";"     160";"     539";"       .";"      9286"
"151";"BU00590002";"Achtkarspelen                           ";"    2160";"    1090";"    1065";"     420";"     275";"     520";"     575";"     360";"    1723";"       .";"      9288"
"152";"BU00590003";"Achtkarspelen                           ";"    1555";"     815";"     740";"     295";"     185";"     370";"     490";"     205";"    1236";"       .";"      9287"
"153";"BU00590004";"Achtkarspelen                           ";"     720";"     380";"     335";"     140";"      75";"     185";"     195";"     120";"    1165";"       .";"      9873"
"154";"BU00590005";"Achtkarspelen                           ";"     685";"     340";"     345";"     140";"      90";"     155";"     190";"     110";"      43";"       .";"      9285"
"155";"BU00590006";"Achtkarspelen                           ";"      75";"      40";"      30";"      15";"       5";"      10";"      30";"      10";"      10";"       .";"      9286"
"156";"BU00590007";"Achtkarspelen                           ";"     345";"     190";"     155";"      70";"      50";"      65";"     115";"      45";"      57";"       .";"      9288"
"157";"BU00590008";"Achtkarspelen                           ";"     240";"     130";"     110";"      25";"      40";"      35";"      90";"      45";"      51";"       .";"      9287"
"158";"BU00590009";"Achtkarspelen                           ";"      80";"      45";"      30";"      10";"      10";"      15";"      25";"      15";"      16";"       .";"      9873"
"159";"WK005901  ";"Achtkarspelen                           ";"    3285";"    1705";"    1580";"     620";"     455";"     765";"     955";"     490";"     164";"    20.4";"         ."
"160";"BU00590100";"Achtkarspelen                           ";"     260";"     150";"     110";"      55";"      35";"      70";"      60";"      35";"     866";"       .";"      9871"
"161";"BU00590102";"Achtkarspelen                           ";"    1540";"     775";"     765";"     295";"     200";"     355";"     415";"     270";"    1258";"       .";"      9289"
"162";"BU00590103";"Achtkarspelen                           ";"    1055";"     550";"     505";"     195";"     145";"     270";"     330";"     110";"    1049";"       .";"      9284"
"163";"BU00590107";"Achtkarspelen                           ";"      60";"      35";"      25";"      20";"       5";"      15";"      15";"       0";"      26";"       .";"      9872"
"164";"BU00590108";"Achtkarspelen                           ";"     185";"     100";"      85";"      30";"      35";"      25";"      55";"      35";"      21";"       .";"      9289"
"165";"BU00590109";"Achtkarspelen                           ";"     175";"      95";"      80";"      20";"      30";"      25";"      70";"      30";"      28";"       .";"      9284"
"166";"WK005902  ";"Achtkarspelen                           ";"   12745";"    6430";"    6315";"    2230";"    1410";"    2885";"    3610";"    2605";"     355";"    20.2";"         ."
"167";"BU00590200";"Achtkarspelen                           ";"    5600";"    2725";"    2870";"     910";"     565";"    1225";"    1530";"    1365";"    1777";"    20.3";"      9231"
"168";"BU00590201";"Achtkarspelen                           ";"    3985";"    2040";"    1940";"     750";"     450";"     955";"    1110";"     720";"    1604";"    18.8";"      9281"
"169";"BU00590202";"Achtkarspelen                           ";"     905";"     480";"     425";"     160";"     140";"     210";"     260";"     130";"     933";"       .";"      9283"
"170";"BU00590203";"Achtkarspelen                           ";"     725";"     355";"     370";"     140";"      60";"     205";"     215";"     105";"    1093";"       .";"      9233"
"171";"BU00590206";"Achtkarspelen                           ";"     410";"     210";"     200";"      80";"      50";"      85";"     125";"      65";"      93";"       .";"      9231"
"172";"BU00590207";"Achtkarspelen                           ";"     280";"     160";"     115";"      45";"      30";"      55";"     100";"      45";"      70";"       .";"      9281"
"173";"BU00590208";"Achtkarspelen                           ";"     390";"     205";"     185";"      75";"      50";"      75";"     120";"      65";"      28";"       .";"      9283"
"174";"BU00590209";"Achtkarspelen                           ";"     440";"     245";"     195";"      60";"      60";"      70";"     150";"     100";"      70";"       .";"      9233"
"175";"GM0482    ";"Alblasserdam                            ";"   20014";"    9826";"   10188";"    3900";"    2440";"    4641";"    5126";"    3907";"    2280";"    24.1";"         ."
"176";"WK048201  ";"Alblasserdam                            ";"    4760";"    2300";"    2455";"     945";"     530";"    1060";"    1140";"    1095";"    5217";"    25.4";"         ."
"177";"BU04820101";"Alblasserdam                            ";"     870";"     425";"     440";"     135";"     100";"     130";"     235";"     280";"    4101";"       .";"      2951"
"178";"BU04820102";"Alblasserdam                            ";"     685";"     300";"     385";"     115";"      55";"     120";"     160";"     245";"    7013";"       .";"      2951"
"179";"BU04820103";"Alblasserdam                            ";"    1575";"     775";"     800";"     360";"     205";"     450";"     360";"     205";"    7006";"       .";"      2951"
"180";"BU04820104";"Alblasserdam                            ";"     545";"     260";"     285";"     115";"      80";"     125";"     160";"      65";"    3761";"       .";"      2952"
"181";"BU04820105";"Alblasserdam                            ";"    1075";"     535";"     540";"     225";"      90";"     240";"     225";"     300";"    4658";"       .";"      2951"
"182";"WK048202  ";"Alblasserdam                            ";"    3850";"    1960";"    1885";"     775";"     470";"    1010";"    1010";"     585";"    4040";"    24.0";"         ."
"183";"BU04820201";"Alblasserdam                            ";"     580";"     300";"     275";"     105";"      70";"     125";"     170";"     115";"    1921";"       .";"      2953"
"184";"BU04820202";"Alblasserdam                            ";"    1250";"     630";"     615";"     225";"     135";"     370";"     330";"     195";"    8229";"       .";"      2953"
"185";"BU04820203";"Alblasserdam                            ";"     455";"     225";"     230";"      65";"      75";"      80";"     170";"      65";"    5100";"       .";"      2953"
"186";"BU04820204";"Alblasserdam                            ";"      10";"       5";"       5";"       5";"       5";"       0";"       5";"       0";"      64";"       .";"      2953"
"187";"BU04820205";"Alblasserdam                            ";"     955";"     485";"     465";"     200";"     110";"     245";"     215";"     190";"    8208";"       .";"      2953"
"188";"BU04820206";"Alblasserdam                            ";"     590";"     300";"     290";"     180";"      80";"     200";"     120";"      20";"    6565";"       .";"      2953"
"189";"WK048203  ";"Alblasserdam                            ";"    7525";"    3705";"    3820";"    1460";"     975";"    1840";"    2075";"    1185";"    8659";"    23.6";"         ."
"190";"BU04820301";"Alblasserdam                            ";"     980";"     500";"     475";"     185";"     145";"     195";"     335";"     125";"    7623";"       .";"      2954"
"191";"BU04820302";"Alblasserdam                            ";"     600";"     300";"     295";"     100";"      95";"     110";"     225";"      75";"    7044";"       .";"      2954"
"192";"BU04820303";"Alblasserdam                            ";"     970";"     485";"     480";"     175";"     145";"     195";"     315";"     145";"    9515";"       .";"      2954"
"193";"BU04820304";"Alblasserdam                            ";"     730";"     365";"     360";"     140";"      80";"     190";"     210";"     120";"    7126";"       .";"      2951"
"194";"BU04820305";"Alblasserdam                            ";"     945";"     450";"     490";"     180";"     105";"     195";"     235";"     235";"    8274";"       .";"      2951"
"195";"BU04820306";"Alblasserdam                            ";"    1580";"     735";"     840";"     315";"     200";"     415";"     380";"     280";"    9075";"       .";"      2951"
